X,scientificName,taxonKey,rank,taxonomicStatus,kingdom,includes,classKey,gbifKey
9776,Trifolium hybridum,6157026,SPECIES,ACCEPTED,Plantae,NA,11418114,213213824
9777,Trifolium hybridum,3023671,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9778,Trifolium hybridum,7225621,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9779,Trifolium hybridum,3047147,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9780,Trifolium hybridum,8134874,SPECIES,ACCEPTED,Plantae,NA,196,213213824
9781,Trifolium hybridum,6157050,SPECIES,ACCEPTED,Plantae,NA,11418114,213213824
9782,Trifolium hybridum,3922770,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9783,Trifolium hybridum,7277946,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9784,Trifolium hybridum,7266343,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9785,Trifolium hybridum,5373039,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9786,Trifolium hybridum,6300531,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9787,Trifolium hybridum,4048052,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9788,Trifolium hybridum,5373483,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9789,Trifolium hybridum,7219988,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9790,Trifolium hybridum,7295374,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9791,Trifolium hybridum,8782549,SPECIES,ACCEPTED,Plantae,NA,11592253,213213824
9792,Trifolium hybridum,4250676,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9793,Trifolium hybridum,9405036,SPECIES,ACCEPTED,Plantae,NA,212,213213824
9794,Trifolium hybridum,7440977,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9795,Trifolium hybridum,3666059,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9796,Trifolium hybridum,5659657,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9797,Trifolium hybridum,3746867,SPECIES,ACCEPTED,Plantae,NA,7228684,213213824
9798,Trifolium hybridum,3755928,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9799,Trifolium hybridum,6084799,SPECIES,ACCEPTED,Plantae,NA,196,213213824
9800,Trifolium hybridum,9537212,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9801,Trifolium hybridum,4132112,SPECIES,ACCEPTED,Plantae,NA,196,213213824
9802,Trifolium hybridum,7293222,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9803,Trifolium hybridum,2161467,NA,NA,NA,NA,367,213213824
9804,Trifolium hybridum,7332416,NA,NA,NA,NA,220,213213824
9805,Trifolium hybridum elegans,NA,NA,NA,NA,NA,NA,152545072
9806,Trifolium hybridum hybridum,NA,NA,NA,NA,NA,NA,152545052
9807,Trifolium incarnatum,5359378,SPECIES,ACCEPTED,Plantae,5359378: Trifolium incarnatum L. | 7302754: Trifolium incarnatum var. incarnatum | 5359380: Trifolium incarnatum subsp. molinerii (Hornem.) Syme,220,152545074
9808,Trifolium isthmocarpum,5359447,SPECIES,ACCEPTED,Plantae,5359447: Trifolium isthmocarpum Brot.,220,152545079
9809,Trifolium lappaceum,5358913,SPECIES,ACCEPTED,Plantae,5358913: Trifolium lappaceum L.,220,152545057
9810,Trifolium michelianum,5359169,SPECIES,ACCEPTED,Plantae,5359169: Trifolium michelianum Savi,220,152545067
9811,Trifolium nigrescens,5358774,SPECIES,ACCEPTED,Plantae,5358774: Trifolium nigrescens Viv.,220,152545054
