year,individualCount,gemeente,provincie,gewest,gbifID,decimalLatitude,decimalLongitude,geometry
2002,1,Lummen,Limburg,flanders,2610176842,50.998508,5.221913,"c(5.221913, 50.998508)"
2001,1,Balen,Antwerpen,flanders,2610177215,51.153686,5.148467,"c(5.148467, 51.153686)"
2006,1,Zele,Oost-Vlaanderen,flanders,2610177323,51.052895,4.022651,"c(4.022651, 51.052895)"
2001,3,Dendermonde,Oost-Vlaanderen,flanders,2610177356,51.040845,4.072743,"c(4.072743, 51.040845)"
2005,5,Zele,Oost-Vlaanderen,flanders,2610177386,51.064221,4.06174,"c(4.06174, 51.064221)"
2004,1,Zemst,Vlaams-Brabant,flanders,2610177495,50.981929,4.435653,"c(4.435653, 50.981929)"
2004,1,Huldenberg,Vlaams-Brabant,flanders,2610177530,50.76807,4.621548,"c(4.621548, 50.76807)"
2005,2,Mechelen,Antwerpen,flanders,2610177796,51.031932,4.473389,"c(4.473389, 51.031932)"
2003,1,Diest,Vlaams-Brabant,flanders,2610178044,50.977273,5.072691,"c(5.072691, 50.977273)"
2001,2,Ham,Limburg,flanders,2610178163,51.109855,5.161902,"c(5.161902, 51.109855)"
2002,2,Dendermonde,Oost-Vlaanderen,flanders,2610178308,51.040845,4.072743,"c(4.072743, 51.040845)"
2001,2,Heist-Op-Den-Berg,Antwerpen,flanders,2610178596,51.034147,4.706762,"c(4.706762, 51.034147)"
2008,2,Tremelo,Vlaams-Brabant,flanders,2610178654,51.008551,4.735547,"c(4.735547, 51.008551)"
2006,3,Genk,Limburg,flanders,2610178774,50.960607,5.51317,"c(5.51317, 50.960607)"
2002,1,Bilzen,Limburg,flanders,2610178777,50.89866,5.485586,"c(5.485586, 50.89866)"
2001,2,Bilzen,Limburg,flanders,2610178781,50.89866,5.485586,"c(5.485586, 50.89866)"
2009,1,Hoegaarden,Vlaams-Brabant,flanders,2610178874,50.781368,4.871478,"c(4.871478, 50.781368)"
2002,3,Holsbeek,Vlaams-Brabant,flanders,2610178917,50.92969,4.802753,"c(4.802753, 50.92969)"
2003,1,Diest,Vlaams-Brabant,flanders,2610178952,50.977273,5.072691,"c(5.072691, 50.977273)"
2002,1,Meerhout,Antwerpen,flanders,2610179088,51.108904,5.097933,"c(5.097933, 51.108904)"
2002,1,Retie,Antwerpen,flanders,2610179135,51.27989,5.148496,"c(5.148496, 51.27989)"
2009,1,Balen,Antwerpen,flanders,2610179156,51.157361,5.216963,"c(5.216963, 51.157361)"
2002,10,Balen,Antwerpen,flanders,2610179162,51.157361,5.216963,"c(5.216963, 51.157361)"
2006,1,Mol,Antwerpen,flanders,2610179201,51.191249,5.126334,"c(5.126334, 51.191249)"
2001,1,Geel,Antwerpen,flanders,2610179228,51.133066,4.991754,"c(4.991754, 51.133066)"
2008,1,Westerlo,Antwerpen,flanders,2610179300,51.083797,4.875369,"c(4.875369, 51.083797)"
2004,1,Herenthout,Antwerpen,flanders,2610179469,51.136831,4.778602,"c(4.778602, 51.136831)"
2006,2,Turnhout,Antwerpen,flanders,2610179720,51.319129,4.939371,"c(4.939371, 51.319129)"
2003,1,Malle,Antwerpen,flanders,2610179761,51.292471,4.736351,"c(4.736351, 51.292471)"
2006,5,Duffel,Antwerpen,flanders,2610179853,51.093944,4.515255,"c(4.515255, 51.093944)"
2002,1,Maaseik,Limburg,flanders,2610179934,51.085053,5.749664,"c(5.749664, 51.085053)"
2006,1,Kinrooi,Limburg,flanders,2610179995,51.152748,5.760212,"c(5.760212, 51.152748)"
2009,2,Hechtel-Eksel,Limburg,flanders,2610180036,51.151352,5.391816,"c(5.391816, 51.151352)"
2012,1,Wervik,West-Vlaanderen,flanders,2610180160,50.795808,3.043018,"c(3.043018, 50.795808)"
2014,2,Geraardsbergen,Oost-Vlaanderen,flanders,2610180243,50.75701,3.927373,"c(3.927373, 50.75701)"
2001,1,Herselt,Antwerpen,flanders,2610180341,51.072495,4.923133,"c(4.923133, 51.072495)"
2003,10,Heist-Op-Den-Berg,Antwerpen,flanders,2610180388,51.080064,4.747147,"c(4.747147, 51.080064)"
2001,1,Westerlo,Antwerpen,flanders,2610180451,51.117122,4.888793,"c(4.888793, 51.117122)"
2002,6,Berlaar,Antwerpen,flanders,2610180461,51.109682,4.65571,"c(4.65571, 51.109682)"
2001,2,Herenthout,Antwerpen,flanders,2610180510,51.134789,4.736521,"c(4.736521, 51.134789)"
2001,1,Zandhoven,Antwerpen,flanders,2610180691,51.219551,4.690996,"c(4.690996, 51.219551)"
2001,1,Riemst,Limburg,flanders,2610180857,50.792927,5.592617,"c(5.592617, 50.792927)"
2006,1,Heist-Op-Den-Berg,Antwerpen,flanders,2610181304,51.080064,4.747147,"c(4.747147, 51.080064)"
2004,2,Westerlo,Antwerpen,flanders,2610181340,51.117122,4.888793,"c(4.888793, 51.117122)"
2001,1,Nijlen,Antwerpen,flanders,2610181388,51.139677,4.667035,"c(4.667035, 51.139677)"
2012,1,De Panne,West-Vlaanderen,flanders,2610181942,51.079738999999996,2.580652,"c(2.580652, 51.079739)"
2011,1,Landen,Vlaams-Brabant,flanders,2610182001,50.76978,5.025444,"c(5.025444, 50.76978)"
2012,2,Huldenberg,Vlaams-Brabant,flanders,2610182008,50.784427,4.632807,"c(4.632807, 50.784427)"
2012,2,Tremelo,Vlaams-Brabant,flanders,2610182043,50.99031,4.713314,"c(4.713314, 50.99031)"
2018,1,Brugge,West-Vlaanderen,flanders,2610182278,51.291434,3.266939,"c(3.266939, 51.291434)"
2018,1,Hal,Vlaams-Brabant,flanders,2610182296,50.751492,4.258196,"c(4.258196, 50.751492)"
2002,1,Hulshout,Antwerpen,flanders,2610182331,51.067393,4.81561,"c(4.81561, 51.067393)"
2003,3,Oud-Turnhout,Antwerpen,flanders,2610182645,51.328053,4.996641,"c(4.996641, 51.328053)"
2004,1,Zandhoven,Antwerpen,flanders,2610182729,51.218515,4.650082,"c(4.650082, 51.218515)"
2006,1,Tongeren,Limburg,flanders,2610182872,50.757868,5.471024,"c(5.471024, 50.757868)"
2006,1,Essen,Antwerpen,flanders,2610183008,51.450121,4.464467,"c(4.464467, 51.450121)"
2017,2,Lessen,Henegouwen,wallonia,2610183282,50.730741,3.865328,"c(3.865328, 50.730741)"
